timestamp,open,high,low,close,volume
2020-06-07,9666.85,9802.0,9372.46,9746.99,57952.848385
2020-06-08,9746.99,9800.0,9633.0,9782.01,40664.664125
2020-06-09,9782.0,9877.0,9570.0,9772.43,46024.001289
2020-06-10,9772.44,9992.72,9704.18,9885.0,47130.762982
2020-06-11,9885.22,9964.0,9113.0,9280.4,94418.98473
2020-06-12,9278.88,9557.12,9232.51,9465.13,50119.066932
2020-06-13,9464.96,9494.73,9351.0,9473.34,27759.784851
2020-06-14,9473.34,9480.99,9245.0,9342.1,30055.506608
2020-06-15,9342.1,9495.0,8910.45,9426.02,86107.924707
2020-06-16,9426.05,9589.0,9373.09,9525.59,52052.446927
2020-06-17,9526.97,9565.0,9236.61,9465.14,48046.411152
2020-06-18,9465.13,9489.0,9280.0,9386.32,37381.953765
2020-06-19,9386.32,9438.3,9215.79,9310.23,45330.983673
2020-06-20,9310.23,9395.0,9170.95,9358.95,30329.065384
2020-06-21,9358.95,9422.0,9281.54,9294.69,24316.926234
2020-06-22,9294.69,9780.0,9277.09,9685.69,57895.468343
2020-06-23,9685.69,9720.0,9577.03,9624.89,41031.02938
2020-06-24,9624.33,9670.0,9208.0,9296.49,61571.561464
2020-06-25,9298.33,9340.0,9009.69,9249.49,55831.619156
2020-06-26,9249.49,9298.0,9045.45,9162.21,50292.298277
2020-06-27,9162.21,9196.24,8833.0,9012.0,46290.930113
2020-06-28,9012.0,9191.0,8948.06,9116.35,30688.176421
2020-06-29,9116.16,9238.0,9024.67,9192.56,42120.293261
2020-06-30,9192.93,9205.0,9064.89,9138.55,31463.162801
2020-07-01,9138.08,9292.0,9080.1,9232.0,38488.528699
2020-07-02,9231.99,9261.96,8940.0,9086.54,45725.168076
2020-07-03,9086.54,9125.0,9037.47,9058.26,28943.420177
2020-07-04,9057.79,9190.0,9040.04,9135.46,26441.968484
2020-07-05,9135.0,9145.24,8893.03,9069.41,34073.653627
2020-07-06,9069.41,9375.0,9055.92,9344.2,54463.132277
2020-07-07,9342.47,9379.42,9203.0,9257.39,34587.336678
2020-07-08,9257.4,9470.0,9231.0,9436.06,56140.517781
2020-07-09,9436.06,9440.79,9160.0,9232.43,48044.450645
2020-07-10,9232.42,9317.48,9125.0,9288.34,38295.494006
2020-07-11,9288.34,9299.28,9178.25,9234.03,22561.366
2020-07-12,9234.02,9345.0,9157.5,9302.75,30872.702286
2020-07-13,9303.31,9343.82,9200.89,9242.62,42740.069115
2020-07-14,9242.61,9279.54,9113.0,9255.85,45772.552509
2020-07-15,9255.85,9276.49,9160.57,9197.6,39053.579665
2020-07-16,9197.6,9226.15,9047.25,9133.72,43375.571191
2020-07-17,9133.72,9186.83,9089.81,9154.32,28054.358741
2020-07-18,9154.31,9219.3,9121.1,9170.28,22554.541457
2020-07-19,9170.3,9232.27,9101.35,9208.99,26052.019417
2020-07-20,9208.99,9221.52,9131.0,9160.78,35458.764082
2020-07-21,9160.78,9437.73,9152.8,9390.0,60413.582486
2020-07-22,9390.0,9544.0,9261.0,9518.16,48815.004107
2020-07-23,9518.16,9664.0,9440.33,9603.27,51856.2335
2020-07-24,9603.27,9637.0,9463.44,9537.8,43931.136205
2020-07-25,9538.1,9732.9,9513.0,9700.42,40679.545416
2020-07-26,9700.42,10111.0,9650.0,9931.54,65279.269319
2020-07-27,9931.54,11394.86,9917.21,11029.96,150188.933144
2020-07-28,11029.96,11242.23,10565.0,10906.27,97267.734187
